Unnamed: 0.1,Text,Sentiment,Timestamp,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Sentiment_Category,Clean_Text,Date
40, Excited about the upcoming gaming tournament.      ,positive,2023-01-28 09:00:00,Instagram,"['gaming', 'tournament']",30,60,USA,2023,1,28,9,positive, excited about the upcoming gaming tournament      ,2023-01-28
41, Planning a garden makeover for spring.             ,positive,2023-01-28 14:45:00,Twitter,"['gardening', 'spring']",25,50, USA      ,2023,1,28,14,positive, planning a garden makeover for spring             ,2023-01-28
42, Celebrating a friend's birthday tonight! 🎂       ,positive,2023-01-28 19:30:00,Facebook,"['birthday', 'celebration']",15,30, UK ,2023,1,28,19,positive, celebrating a friends birthday tonight        ,2023-01-28
43, Feeling accomplished after a productive day.       ,positive,2023-01-29 17:00:00,Instagram,"['accomplished', 'success']",22,45, India ,2023,1,29,17,positive, feeling accomplished after a productive day       ,2023-01-29
44, A cozy evening with a good movie.                 ,positive,2023-01-29 20:20:00,Twitter,"['cozynight', 'movietime']",18,35, Canada   ,2023,1,29,20,positive, a cozy evening with a good movie                 ,2023-01-29
45, Exploring local art galleries this weekend.        ,positive,2023-01-30 11:30:00,Facebook,"['art', 'galleryexplore']",15,30, USA      ,2023,1,30,11,positive, exploring local art galleries this weekend        ,2023-01-30
46, New book release from my favorite author!          ,positive,2023-01-30 15:45:00,Instagram,"['bookrelease', 'favoriteauthor']",12,25, UK   ,2023,1,30,15,positive, new book release from my favorite author          ,2023-01-30
47, Attending a virtual reality meetup.                ,positive,2023-01-30 18:30:00,Twitter,"['vrmeetup', 'virtualreality']",28,55, India    ,2023,1,30,18,positive, attending a virtual reality meetup                ,2023-01-30
48, Reflecting on the beauty of nature.                ,positive,2023-01-31 10:45:00,Facebook,"['nature', 'reflection']",15,30, Australia ,2023,1,31,10,positive, reflecting on the beauty of nature                ,2023-01-31
49, Cooking a special dinner for loved ones.           ,positive,2023-01-31 19:00:00,Instagram,"['cooking', 'specialdinner']",20,40, USA       ,2023,1,31,19,positive, cooking a special dinner for loved ones           ,2023-01-31
50, Feeling optimistic about the week ahead.           ,positive,2023-01-31 16:20:00,Twitter,"['optimism', 'newweek']",15,30, Canada   ,2023,1,31,16,positive, feeling optimistic about the week ahead           ,2023-01-31
51, Starting a new fitness challenge tomorrow! 💪     ,positive,2023-02-01 08:00:00,Facebook,"['fitnesschallenge', 'newbeginnings']",22,45, UK         ,2023,2,1,8,positive, starting a new fitness challenge tomorrow      ,2023-02-01
52, Sunday bike ride through scenic trails.           ,positive,2023-02-01 13:30:00,Instagram,"['bikeride', 'scenictrails']",18,35, USA     ,2023,2,1,13,positive, sunday bike ride through scenic trails           ,2023-02-01
53, Can't believe the injustice happening in our society.,anger,2023-02-11 09:30:00,Twitter,"['injustice', 'angry']",20,40, Canada     ,2023,2,11,9,negative, cant believe the injustice happening in our society,2023-02-11
54, Feeling a sense of fear after watching a thriller movie. ,fear,2023-02-11 21:15:00,Instagram,"['fear', 'thrillermovie']",15,30, USA          ,2023,2,11,21,negative, feeling a sense of fear after watching a thriller movie ,2023-02-11
55, Heartbroken after hearing the news about a natural disaster. ,sadness,2023-02-12 14:45:00,Facebook,"['sadness', 'naturaldisaster']",25,50, India      ,2023,2,12,14,negative, heartbroken after hearing the news about a natural disaster ,2023-02-12
56, The state of the world's environment is just disgusting. ,disgust,2023-02-12 18:20:00,Twitter,"['disgust', 'environment']",18,35, UK         ,2023,2,12,18,negative, the state of the worlds environment is just disgusting ,2023-02-12
57, Pure happiness: celebrating a loved one's achievement! ,happiness,2023-02-13 10:00:00,Instagram,"['happiness', 'celebration']",30,60, USA ,2023,2,13,10,positive, pure happiness celebrating a loved ones achievement ,2023-02-13
58, Laughter is the best medicine—enjoying a comedy show. ,joy,2023-02-13 19:30:00,Facebook,"['joy', 'comedyshow']",22,45, Canada    ,2023,2,13,19,positive, laughter is the best medicineenjoying a comedy show ,2023-02-13
59, Sharing love and positive vibes with everyone! ❤️      ,love,2023-02-14 08:30:00,Twitter,"['love', 'spreadlove']",15,30, Australia  ,2023,2,14,8,positive, sharing love and positive vibes with everyone       ,2023-02-14
60, An amusing incident brightened up my day!               ,amusement,2023-02-14 14:20:00,Instagram,"['amusement', 'funtimes']",18,35, UK           ,2023,2,14,14,positive, an amusing incident brightened up my day               ,2023-02-14
61, Enjoying a quiet evening with a book and some tea.      ,enjoyment,2023-02-14 19:45:00,Facebook,"['enjoyment', 'booktime']",25,50, Canada       ,2023,2,14,19,positive, enjoying a quiet evening with a book and some tea      ,2023-02-14
62, Admiring the beauty of nature during a peaceful hike.   ,admiration,2023-02-15 11:30:00,Twitter,"['admiration', 'nature']",20,40, USA       ,2023,2,15,11,positive, admiring the beauty of nature during a peaceful hike   ,2023-02-15
63, Sending affectionate vibes to all my followers!          ,affection,2023-02-15 16:00:00,Instagram,"['affection', 'positivevibes']",15,30,USA,2023,2,15,16,positive, sending affectionate vibes to all my followers          ,2023-02-15
64, Experiencing awe at the breathtaking sunset.            ,awe,2023-02-15 20:30:00,Facebook,"['awe', 'breathtaking']",22,45, Australia   ,2023,2,15,20,positive, experiencing awe at the breathtaking sunset            ,2023-02-15
65, Disappointed with the service at a local restaurant.    ,disappointed,2023-02-16 09:00:00,Twitter,"['disappointed', 'badservice']",18,35, India      ,2023,2,16,9,negative, disappointed with the service at a local restaurant    ,2023-02-16
66, A surprise gift from a friend made my day!              ,surprise,2023-02-16 14:45:00,Instagram,"['surprise', 'gift']",25,50, USA          ,2023,2,16,14,positive, a surprise gift from a friend made my day              ,2023-02-16
67, Finding acceptance in the midst of life's challenges.   ,acceptance,2023-02-16 18:20:00,Facebook,"['acceptance', 'challenges']",15,30, Canada     ,2023,2,16,18,positive, finding acceptance in the midst of lifes challenges   ,2023-02-16
68, Overflowing with adoration for my adorable pet! 🐾      ,adoration,2023-02-17 10:45:00,Twitter,"['adoration', 'petlove']",22,45, UK        ,2023,2,17,10,positive, overflowing with adoration for my adorable pet       ,2023-02-17
69, Anticipating a thrilling adventure in the coming weeks. ,anticipation,2023-02-17 07:30:00,Instagram,"['anticipation', 'adventure']",20,40,USA,2023,2,17,7,positive, anticipating a thrilling adventure in the coming weeks ,2023-02-17
70, A bitter experience turned into a valuable lesson.      ,bitter,2023-02-17 15:00:00,Facebook,"['bitterlesson', 'growth']",18,35, USA       ,2023,2,17,15,negative, a bitter experience turned into a valuable lesson      ,2023-02-17
71, Finding calmness in the midst of a busy day.            ,calmness,2023-02-18 09:30:00,Twitter,"['calmness', 'peacefulmind']",15,30, India     ,2023,2,18,9,positive, finding calmness in the midst of a busy day            ,2023-02-18
72, Confusion clouds my mind as I navigate through decisions.,confusion,2023-02-18 14:20:00,Instagram,"['confusion', 'decisionmaking']",25,50, UK   ,2023,2,18,14,neutral, confusion clouds my mind as i navigate through decisions,2023-02-18
73, Excitement building up for the upcoming vacation!       ,excitement,2023-02-18 18:45:00,Facebook,"['excitement', 'travelplans']",22,45, Canada    ,2023,2,18,18,positive, excitement building up for the upcoming vacation       ,2023-02-18
74, Kindness witnessed today restored my faith in humanity. ,kind,2023-02-19 11:30:00,Twitter,"['kindness', 'humanity']",20,40, USA       ,2023,2,19,11,positive, kindness witnessed today restored my faith in humanity ,2023-02-19
75, Pride in achieving a personal milestone.               ,pride,2023-02-19 16:00:00,Instagram,"['pride', 'milestone']",30,60, Australia    ,2023,2,19,16,positive, pride in achieving a personal milestone               ,2023-02-19
76, A moment of shame for not standing up against injustice. ,shame,2023-02-19 19:45:00,Facebook,"['shame', 'injustice']",15,30, India      ,2023,2,19,19,negative, a moment of shame for not standing up against injustice ,2023-02-19
77, Fuming with anger after a heated argument.            ,anger,2023-02-20 09:30:00,Twitter,"['anger', 'argument']",20,40, Canada     ,2023,2,20,9,negative, fuming with anger after a heated argument            ,2023-02-20
78, The fear of the unknown is keeping me up at night.    ,fear,2023-02-20 21:15:00,Instagram,"['fear', 'unknown']",15,30, USA          ,2023,2,20,21,negative, the fear of the unknown is keeping me up at night    ,2023-02-20
79, Heartfelt sadness after bidding farewell to a dear friend. ,sadness,2023-02-21 14:45:00,Facebook,"['sadness', 'farewell']",25,50, India      ,2023,2,21,14,negative, heartfelt sadness after bidding farewell to a dear friend ,2023-02-21
80, The state of corruption in our society is utterly disgusting. ,disgust,2023-02-21 18:20:00,Twitter,"['disgust', 'corruption']",18,35, UK         ,2023,2,21,18,negative, the state of corruption in our society is utterly disgusting ,2023-02-21
81, Overflowing happiness: welcoming a new family member!  ,happiness,2023-02-22 10:00:00,Instagram,"['happiness', 'newfamilymember']",30,60, UK           ,2023,2,22,10,positive, overflowing happiness welcoming a new family member  ,2023-02-22
82, Laughter is the key to joy—attending a stand-up comedy show. ,joy,2023-02-22 19:30:00,Facebook,"['joy', 'standupcomedy']",22,45, Canada    ,2023,2,22,19,positive, laughter is the key to joyattending a standup comedy show ,2023-02-22
83, Sending love to all my followers on this beautiful day! ❤️ ,love,2023-02-23 08:30:00,Twitter,"['love', 'spreadlove']",15,30, Australia  ,2023,2,23,8,positive, sending love to all my followers on this beautiful day  ,2023-02-23
84, Amused by the antics of my pet—it's pure amusement!      ,amusement,2023-02-23 14:20:00,Instagram,"['amusement', 'petantics']",18,35, UK           ,2023,2,23,14,positive, amused by the antics of my petits pure amusement      ,2023-02-23
85, Enjoying every moment of this trip—pure enjoyment!      ,enjoyment,2023-02-23 19:45:00,Facebook,"['enjoyment', 'travel']",25,50, USA ,2023,2,23,19,positive, enjoying every moment of this trippure enjoyment      ,2023-02-23
86, Admiring the dedication of volunteers at a local charity. ,admiration,2023-02-24 11:30:00,Twitter,"['admiration', 'volunteers']",20,40, USA        ,2023,2,24,11,positive, admiring the dedication of volunteers at a local charity ,2023-02-24
87, Sending affectionate vibes to friends and family.        ,affection,2023-02-24 16:00:00,Instagram,"['affection', 'familylove']",15,30,USA,2023,2,24,16,positive, sending affectionate vibes to friends and family        ,2023-02-24
88, Awe-struck by the beauty of the night sky.               ,awe,2023-02-24 20:30:00,Facebook,"['awe', 'starrynight']",22,45, Australia ,2023,2,24,20,positive, awestruck by the beauty of the night sky               ,2023-02-24
89, Disappointed with the lack of progress in a personal project. ,disappointed,2023-02-25 09:00:00,Twitter,"['disappointed', 'project']",18,35, India      ,2023,2,25,9,negative, disappointed with the lack of progress in a personal project ,2023-02-25
90, A surprise visit from an old friend brought tears of joy. ,surprise,2023-02-25 14:45:00,Instagram,"['surprise', 'oldfriends']",25,50, USA          ,2023,2,25,14,positive, a surprise visit from an old friend brought tears of joy ,2023-02-25
91, Embracing acceptance of life's ups and downs.           ,acceptance,2023-02-25 18:20:00,Facebook,"['acceptance', 'lifejourney']",15,30, Canada     ,2023,2,25,18,positive, embracing acceptance of lifes ups and downs           ,2023-02-25
92, Overflowing adoration for a cute rescue puppy! 🐶       ,adoration,2023-02-26 10:45:00,Twitter,"['adoration', 'puppylove']",22,45, UK         ,2023,2,26,10,positive, overflowing adoration for a cute rescue puppy        ,2023-02-26
93, Anticipating the release of a much-awaited movie.       ,anticipation,2023-02-26 07:30:00,Instagram,"['anticipation', 'movierelease']",20,40, Australia    ,2023,2,26,7,positive, anticipating the release of a muchawaited movie       ,2023-02-26
94, Bitter experience at the customer service department.   ,bitter,2023-02-26 15:00:00,Facebook,"['bitterexperience', 'customerservice']",18,35, USA       ,2023,2,26,15,negative, bitter experience at the customer service department   ,2023-02-26
95, Finding calmness amidst the chaos of daily life.        ,calmness,2023-02-27 09:30:00,Twitter,"['calmness', 'innerpeace']",15,30, India     ,2023,2,27,9,positive, finding calmness amidst the chaos of daily life        ,2023-02-27
96, Confusion reigns as I try to make sense of recent events.,confusion,2023-02-27 14:20:00,Instagram,"['confusion', 'makingsense']",25,50, UK   ,2023,2,27,14,neutral, confusion reigns as i try to make sense of recent events,2023-02-27
97, Excitement building up for a surprise birthday party.   ,excitement,2023-02-27 18:45:00,Facebook,"['excitement', 'surpriseparty']",22,45, Canada ,2023,2,27,18,positive, excitement building up for a surprise birthday party   ,2023-02-27
98, Witnessed an act of kindness that made my day.          ,kind,2023-02-28 11:30:00,Twitter,"['kindness', 'actsofkindness']",20,40, USA       ,2023,2,28,11,positive, witnessed an act of kindness that made my day          ,2023-02-28
99, Pride in completing a challenging fitness challenge.    ,pride,2023-02-28 16:00:00,Instagram,"['pride', 'fitnesschallengecompleted']",30,60, UK            ,2023,2,28,16,positive, pride in completing a challenging fitness challenge    ,2023-02-28
100, A moment of shame for not speaking up against injustice.,shame,2023-02-28 19:45:00,Facebook,"['shame', 'injustice']",15,30, India     ,2023,2,28,19,negative, a moment of shame for not speaking up against injustice,2023-02-28
101, Reflecting on the beauty of diversity in our world.     ,acceptance,2023-03-01 10:45:00,Twitter,"['acceptance', 'diversity']",22,45, Australia ,2023,3,1,10,positive, reflecting on the beauty of diversity in our world     ,2023-03-01
102, Excitement for a quiet evening with a good book.        ,excitement,2023-03-01 13:30:00,Instagram,"['excitement', 'booktime']",18,35, USA          ,2023,3,1,13,positive, excitement for a quiet evening with a good book        ,2023-03-01
103, Feeling bitter about the unfairness in the workplace.   ,bitter,2023-03-01 17:45:00,Twitter,"['bitter', 'unfairness']",15,30, Canada    ,2023,3,1,17,negative, feeling bitter about the unfairness in the workplace   ,2023-03-01
104, Calmness prevails as I practice mindfulness.            ,calmness,2023-03-02 18:00:00,Facebook,"['calmness', 'mindfulness']",15,30, UK        ,2023,3,2,18,positive, calmness prevails as i practice mindfulness            ,2023-03-02
105, Confusion surrounds me as I navigate through life's choices. ,confusion,2023-03-02 13:15:00,Instagram,"['confusion', 'lifechoices']",30,60, USA   ,2023,3,2,13,neutral, confusion surrounds me as i navigate through lifes choices ,2023-03-02
106, Excitement for a weekend road trip to explore new places. ,excitement,2023-03-02 16:45:00,Twitter,"['excitement', 'weekendadventure']",25,50, India     ,2023,3,2,16,positive, excitement for a weekend road trip to explore new places ,2023-03-02
107, Kindness witnessed today restores my faith in humanity.  ,kind,2023-03-03 11:30:00,Facebook,"['kindness', 'humanityrestored']",22,45, USA       ,2023,3,3,11,positive, kindness witnessed today restores my faith in humanity  ,2023-03-03
108, Pride in accomplishing personal and professional goals.  ,pride,2023-03-03 14:30:00,Instagram,"['pride', 'accomplishments']",12,25, Canada ,2023,3,3,14,positive, pride in accomplishing personal and professional goals  ,2023-03-03
109, Shame for not being true to my values in a difficult situation.,shame,2023-03-03 12:00:00,Twitter,"['shame', 'integrity']",15,30, UK        ,2023,3,3,12,negative, shame for not being true to my values in a difficult situation,2023-03-03
110," Revisiting old memories, feeling a sense of elation. ",elation,2010-05-15 15:30:00,Twitter,"['elation', 'memories']",20,40, Canada    ,2010,5,15,15,positive, revisiting old memories feeling a sense of elation ,2010-05-15
111, The victory of our team brought euphoria to the city. ,euphoria,2021-08-10 21:15:00,Instagram,"['euphoria', 'victory']",15,30, USA      ,2021,8,10,21,positive, the victory of our team brought euphoria to the city ,2021-08-10
112," Embracing the beauty of nature, a moment of contentment. ",contentment,2011-06-20 14:45:00,Facebook,"['contentment', 'nature']",25,50, India       ,2011,6,20,14,positive, embracing the beauty of nature a moment of contentment ,2011-06-20
113," Meditating by the serene lake, finding inner peace.   ",serenity,2022-02-12 18:20:00,Twitter,"['serenity', 'meditation']",18,35, UK          ,2022,2,12,18,positive, meditating by the serene lake finding inner peace   ,2022-02-12
114, Overflowing with gratitude for life's blessings.      ,gratitude,2012-11-25 10:00:00,Instagram,"['gratitude', 'blessed']",30,60, Australia   ,2012,11,25,10,positive, overflowing with gratitude for lifes blessings      ,2012-11-25
115," Hopeful for a brighter tomorrow, despite challenges.  ",hope,2013-04-05 19:30:00,Facebook,"['hope', 'optimism']",22,45, USA      ,2013,4,5,19,positive, hopeful for a brighter tomorrow despite challenges  ,2013-04-05
116, Empowered to make a difference in my community.        ,empowerment,2014-09-14 08:30:00,Twitter,"['empowerment', 'community']",15,30, UK       ,2014,9,14,8,positive, empowered to make a difference in my community        ,2014-09-14
117, Compassion in action: supporting a local charity event. ,compassion,2015-07-18 14:20:00,Instagram,"['compassion', 'charityevent']",18,35, Canada ,2015,7,18,14,positive, compassion in action supporting a local charity event ,2015-07-18
118," A moment of tenderness, connecting with loved ones.    ",tenderness,2016-02-23 19:45:00,Facebook,"['tenderness', 'familytime']",25,50, UK          ,2016,2,23,19,positive, a moment of tenderness connecting with loved ones    ,2016-02-23
119, Arousal of excitement as I await a special announcement.,arousal,2017-10-30 11:30:00,Twitter,"['arousal', 'excitement']",20,40, Australia ,2017,10,30,11,positive, arousal of excitement as i await a special announcement,2017-10-30
120, Enthusiastically diving into a new project.            ,enthusiasm,2018-06-15 16:00:00,Instagram,"['enthusiasm', 'newproject']",15,30, USA  ,2018,6,15,16,positive, enthusiastically diving into a new project            ,2018-06-15
121, Feeling a sense of fulfillment after reaching a milestone.,fulfillment,2019-03-28 18:20:00,Facebook,"['fulfillment', 'milestone']",22,45, India     ,2019,3,28,18,positive, feeling a sense of fulfillment after reaching a milestone,2019-03-28
122, Reverence for the beauty of a historic landmark.       ,reverence,2019-11-11 15:00:00,Twitter,"['reverence', 'history']",18,35, UK      ,2019,11,11,15,positive, reverence for the beauty of a historic landmark       ,2019-11-11
123, Elation after a surprise reunion with old friends.    ,elation,2020-04-02 09:30:00,Instagram,"['elation', 'oldfriends']",25,50, Canada      ,2020,4,2,9,positive, elation after a surprise reunion with old friends    ,2020-04-02
124, The euphoria of a live music concert under the stars.  ,euphoria,2021-06-19 14:45:00,Facebook,"['euphoria', 'livemusic']",15,30, USA ,2021,6,19,14,positive, the euphoria of a live music concert under the stars  ,2021-06-19
125, Contentment in the simplicity of a quiet Sunday.       ,contentment,2010-08-15 10:00:00,Twitter,"['contentment', 'sundaymood']",30,60, Australia ,2010,8,15,10,positive, contentment in the simplicity of a quiet sunday       ,2010-08-15
126, Serenity found in the pages of a favorite book.        ,serenity,2011-09-22 19:30:00,Instagram,"['serenity', 'booktime']",22,45, UK          ,2011,9,22,19,positive, serenity found in the pages of a favorite book        ,2011-09-22
127, Gratitude for the support received during tough times. ,gratitude,2012-03-10 08:30:00,Facebook,"['gratitude', 'supportive']",15,30, India     ,2012,3,10,8,positive, gratitude for the support received during tough times ,2012-03-10
128, Hopeful about the possibilities of a new journey.      ,hope,2013-12-05 16:00:00,Twitter,"['hope', 'newbeginnings']",18,35, Canada    ,2013,12,5,16,positive, hopeful about the possibilities of a new journey      ,2013-12-05
129, Empowerment through learning and personal growth.      ,empowerment,2014-07-20 11:30:00,Instagram,"['empowerment', 'personalgrowth']",25,50,USA,2014,7,20,11,positive, empowerment through learning and personal growth      ,2014-07-20
130, Compassion towards those in need during the holidays.  ,compassion,2015-12-22 14:20:00,Facebook,"['compassion', 'holidaysupport']",18,35, USA      ,2015,12,22,14,positive, compassion towards those in need during the holidays  ,2015-12-22
131, Tenderness in the warmth of a cozy winter evening.     ,tenderness,2016-02-10 19:45:00,Twitter,"['tenderness', 'cozyevening']",25,50, UK       ,2016,2,10,19,positive, tenderness in the warmth of a cozy winter evening     ,2016-02-10
132, Arousal of excitement for an upcoming adventure.       ,arousal,2017-04-30 11:30:00,Instagram,"['arousal', 'adventuretime']",20,40, Australia ,2017,4,30,11,positive, arousal of excitement for an upcoming adventure       ,2017-04-30
133, Enthusiasm for a creative project in the making.       ,enthusiasm,2018-09-15 16:00:00,Facebook,"['enthusiasm', 'creativity']",15,30, Canada    ,2018,9,15,16,positive, enthusiasm for a creative project in the making       ,2018-09-15
134, Fulfillment in completing a challenging workout routine.,fulfillment,2019-06-28 18:20:00,Twitter,"['fulfillment', 'fitnessgoals']",22,45, India     ,2019,6,28,18,positive, fulfillment in completing a challenging workout routine,2019-06-28
135, Reverence for the artistry displayed in a museum.      ,reverence,2020-11-11 15:00:00,Instagram,"['reverence', 'artappreciation']",18,35, UK        ,2020,11,11,15,positive, reverence for the artistry displayed in a museum      ,2020-11-11
136, Elation after achieving a personal goal.               ,elation,2021-03-02 09:30:00,Facebook,"['elation', 'personalachievement']",25,50, USA      ,2021,3,2,9,positive, elation after achieving a personal goal               ,2021-03-02
